Comment,Load Order,Target,Source Folder,Source,Load Command,ENABLED,Constraints,Row Limit,F10,F11,F12
Link Table,1,Link,$(vQVDPath)Transformed\,Link,LOAD,Y,,,,,
Calendar; created by SalesforceExtract QVF or QVW,2,Calendar,$(vQVDPath)Extracted\,Calendar,LOAD,Y,,,,,
Built-in Sales Object,3,Accounts,$(vQVDPath)Transformed\,Accounts,LOAD,Y,,,,,
Built-in Sales Object,4,Opportunities,$(vQVDPath)Transformed\,Opportunities,LOAD,Y,,,,,
Derived from Contacts,5,OpportunityOwners,$(vQVDPath)Transformed\,OpportunityOwners,LEFT JOIN (Opportunities) LOAD,Y,,,,,
Built-in Sales Object,6,OppLineItems,$(vQVDPath)Transformed\,OppLineItems,LOAD,Y,,,,,
Built-in Product Object,7,PricebookEntry,$(vQVDPath)Transformed\,PricebookEntry,LOAD,Y,,,,,
Built-in Product Object,8,Product2,$(vQVDPath)Transformed\,Product2,LOAD,Y,,,,,
Built-in Object,9,CurrencyTypes,$(vQVDPath)Transformed\,CurrencyTypes,LOAD,Y,,,,,
Built-in Support Object,10,Cases,$(vQVDPath)Transformed\,CasesOpened,LOAD,Y,,,,,
Built-in Support Object,11,Cases,$(vQVDPath)Transformed\,CasesClosed,CONCATENATE (Cases) LOAD,Y,,,,,
Derived from Contacts,12,CaseOwners,$(vQVDPath)Transformed\,CaseOwners,LEFT JOIN (Cases) LOAD,Y,,,,,
Requires the optional FinancialForce PSA Module,13,Projects,$(vQVDPath)Transformed\,Projects,LOAD,Y,,,,,
Requires the optional FinancialForce PSA Module,14,ProjectManagers,$(vQVDPath)Transformed\,ProjectManagers,LEFT JOIN (Projects) LOAD,Y,,,,,
Requires the optional FinancialForce PSA Module,15,ProjectOwners,$(vQVDPath)Transformed\,ProjectOwners,LEFT JOIN (Projects) LOAD,Y,,,,,
Requires the optional FinancialForce PSA Module,16,Regions,$(vQVDPath)Transformed\,Regions,LEFT JOIN (Projects) LOAD,Y,,,,,
Requires the optional FinancialForce PSA Module,17,Timecards,$(vQVDPath)Transformed\,Timecards,LOAD,Y,,,,,
Requires the optional FinancialForce PSA Module,18,TimecardResources,$(vQVDPath)Transformed\,TimecardResources,LEFT JOIN (Timecards) LOAD,Y,,,,,
